PLAYLIST;ID;DESCRIPTION;CATEGORY
0;2JyC6Os4Tjc4V6LwXhJKst;NOT FANCIED ;0
1;2ZTUES6KnGqczd4RgAKuBf;;1
2;2fvfIU3x4mvnx14hEt0VTx;;1
3;6TuZ84F0r7VUfRTkHEc1x0;;2
4;78mEtY1fJsU81a1w8Ytxqa;;1
5;61RvEJit9j8DMCcJTgrpo9;;3
6;1Enng1Br4k2DXSKdSnF7jF;;1
7;5kktKb52Hkh1jPFmWtAFEF;;3
8;5DIZHlJmzmPM5PMXfIMAoT;;3
9;1khlc5IqNuZbsqiTWG1R17;;1
10;4npSSPvGxLiEzRwaQzBPbq;;2
11;6N0UMaA4JVruyroxHmYJRV;;2
12;4JsvGXyre6ki4vYjYDDQHU;;2
13;6mns8BAZ23YRFgz1orrkGf;;2
14;45FjUZsAt80AJPQGsALf7G;;2
15;3n9oSQEMiEv158HQ1h8U4P;;2
16;6lWR3GAMtM4s1LMPsFcJqb;;2
17;3iLnvUEiarEG7XnkMGUgHG;;2
18;6MYe7Agn7DjbB9dPTUT71L;;1
19;1yu9gAgsXlulGqXtfnLSKQ;;2
20;0vsOA3UbiA5Tf6KQJYrsJb;;2
