,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Va pensiero,"Je n'aime pas Verdi, mais ça j'aime bien !",Giuseppe Verdi,2019-05-17,290613,35,0.976,0.24,0.157,0.924,0.108,-17.034,0.0382,68.828,4
1,"Zadok the Priest (Coronation Anthem No. 1, HWV 258)",Carmina Burana - The Greatest Classical Choir Pieces,Various Artists,2014-10-17,318000,0,0.877,0.291,0.0939,0.779,0.0799,-21.057,0.0342,102.084,4
2,"Turandot / Act 3: ""Nessun dorma!""",Puccini: Turandot - Highlights,Giacomo Puccini,1973-01-01,177333,63,0.963,0.212,0.301,0.0033,0.13,-12.505,0.0384,84.025,4
3,La Traviata / Act 1: Libiamo ne'lieti calici,Verdi: La Traviata,Giuseppe Verdi,1977-01-01,175506,56,0.962,0.424,0.214,2.9e-05,0.681,-17.688,0.0763,113.211,4
4,"Rigoletto / Act 3: ""La donna è mobile""",Pavarotti Forever,Luciano Pavarotti,1997-01-01,142173,59,0.959,0.369,0.21,4.53e-05,0.0905,-13.552,0.0437,131.714,3
5,"Puccini: Madama Butterfly, Act 2: ""Un bel di vedremo"" (Butterfly)",Puccini: Madama Butterfly (1955 - Karajan) - Callas Remastered,Giacomo Puccini,1955,287906,48,0.991,0.207,0.17,0.0243,0.0804,-11.784,0.0404,77.235,3
6,"Il Trovatore / Act 2: ""Vedi! le fosche notturne spoglie"" (Anvil Chorus)",Verdi: Il Trovatore,Giuseppe Verdi,1977-01-01,170426,43,0.883,0.441,0.347,0.0173,0.506,-13.472,0.0402,130.49,4
7,"La Bohème / Act 1: ""Che gelida manina""",Romantic Arias,Jonas Kaufmann,2008-01-01,306906,38,0.988,0.157,0.282,0.147,0.112,-11.784,0.0484,68.155,4
8,Il barbiere di Siviglia (The Barber of Seville): Act I Cavatina: Largo al factotum della citta (Figaro),Rossini: The Barber of Seville (Highlights),Gioachino Rossini,1997-07-24,276973,34,0.973,0.388,0.301,0.221,0.0692,-17.959,0.186,77.175,4
9,O Mio Babbino Caro,A Room With A View,Richard Robbins,1986,150133,52,0.985,0.246,0.125,0.000112,0.262,-17.825,0.0431,111.735,4
10,Caruso,Pavarotti Forever,Luciano Pavarotti,1997-01-01,318666,56,0.835,0.332,0.23,4.49e-05,0.107,-12.146,0.0338,99.573,4
11,Time to Say Goodbye (Con te partirò),Romanza (Remastered),Andrea Bocelli,1997-01-27,245626,0,0.876,0.237,0.476,0.00217,0.0962,-6.96,0.0326,105.54,4
12,'O sole mio (Arr. Chiaramello),Pavarotti Forever,Luciano Pavarotti,1997-01-01,202173,54,0.944,0.239,0.297,0.228,0.117,-13.824,0.0367,139.801,3
13,"Rinaldo, HWV 7a / Act 2: ""Lascia ch'io pianga""",Handel: Rinaldo (Original 1711 Version),George Frideric Handel,2000-10-16,285333,46,0.981,0.198,0.0664,0.00476,0.129,-24.115,0.0698,175.541,3
14,"Bizet: Carmen, WD 31, Act 1 Scene 4: No. 5, Havanaise, ""L'amour est un oiseau rebelle"" (Carmen, Chorus)",Bizet: Carmen,Georges Bizet,1964,262146,51,0.976,0.363,0.115,0.0,0.0992,-17.325,0.0689,134.424,4
15,"The Flower Duet (From ""Lakmé"")",Katherine Jenkins / From The Heart,Katherine Jenkins,2006-01-01,230933,53,0.963,0.32,0.291,0.000457,0.102,-12.972,0.0394,102.281,5
16,"Die Zauberflöte, K.620 / Act 2: ""Der Hölle Rache kocht in meinem Herzen""",Mozart: Die Zauberflöte,Wolfgang Amadeus Mozart,2005-01-24,174120,47,0.971,0.549,0.108,0.0195,0.114,-17.948,0.135,71.029,4
17,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scène (Moderato)",Tchaikovsky: Swan Lake,Pyotr Ilyich Tchaikovsky,1976,166866,64,0.911,0.136,0.164,0.916,0.109,-18.756,0.0364,58.303,4
18,"Lakmé / Act 1: ""Viens, Mallika, ... Dôme épais"" (Flower Duet)",Delibes: Lakmé - Highlights,Léo Delibes,1968-01-01,363493,40,0.976,0.23,0.0596,3.54e-05,0.413,-22.228,0.0434,83.771,3
19,"Tchaikovsky: The Nutcracker, Op. 71, Act 2: No. 13 Waltz of the Flowers",Tchaikovsky: The Nutcracker,Pyotr Ilyich Tchaikovsky,2010-10-11,415813,58,0.944,0.15,0.128,0.93,0.0703,-20.46,0.0459,46.771,3
20,"La Bohème / Act 1: ""O soave fanciulla""",Puccini: La Bohème,Giacomo Puccini,1973-01-01,252453,46,0.974,0.244,0.174,0.0485,0.105,-16.742,0.0424,84.824,4
21,"Tosca / Act 1: ""Recondita armonia""",Nessun Dorma - Puccini's Greatest Arias,Giacomo Puccini,1993-01-01,176640,24,0.95,0.219,0.239,0.00191,0.32,-15.09,0.0392,82.532,4
22,"Tosca / Act 3: ""E lucevan le stelle""",Puccini: Tosca - Highlights,Giacomo Puccini,1979-01-01,176106,0,0.979,0.213,0.153,0.012,0.0854,-17.132,0.0409,80.332,4
23,"La fille du régiment / Act 1: ""Ah mes amis - Pour mon âme""",The Pavarotti Story (4 CDs),Luciano Pavarotti,2007-01-01,414160,0,0.963,0.427,0.307,0.0326,0.0714,-13.458,0.0529,132.378,4
24,Live Like Horses - Live Finale Version,Pavarotti & Friends for War Child,Various Artists,1996-01-01,299426,0,0.67,0.401,0.454,8.38e-05,0.72,-8.358,0.0331,131.965,4
25,L'ultima canzone,Mattinata,Luciano Pavarotti,1983-01-01,255506,34,0.976,0.236,0.185,0.000134,0.118,-16.594,0.0425,71.718,4
26,"L'elisir d'amore / Act 2: ""Una furtiva lagrima""",Donizetti:L'elisir d'amore - Highlights,Gaetano Donizetti,1992-01-01,251506,41,0.965,0.21,0.0903,6.84e-06,0.097,-24.767,0.0464,85.586,3
27,"Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro",Mozart: Kleine Nachtmusik (Eine) / Serenata Notturna / Divertimento No. 10,Wolfgang Amadeus Mozart,1988-02-05,351493,57,0.948,0.492,0.136,0.893,0.0726,-18.839,0.0463,135.786,4
28,"Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro",Piano Book (Deluxe Edition),Lang Lang,2019-03-29,294466,59,0.982,0.315,0.211,0.924,0.147,-22.835,0.0384,120.39,4
29,"Symphony No.25 in G minor, K.183: 1. Allegro con brio","Mozart: Symphony No. 40, 41 & 25",Wolfgang Amadeus Mozart,2008-01-01,461000,35,0.989,0.441,0.176,0.888,0.108,-15.719,0.0376,79.599,4
30,"Serenade in B-Flat Major, K. 361 ""Gran Partita"": III. Adagio","Mozart: Serenade in B Flat - ""Gran Partita""; Serenade in E Flat",Wolfgang Amadeus Mozart,2005-01-01,330293,53,0.991,0.191,0.0363,0.924,0.141,-25.31,0.0409,69.754,4
31,"Le nozze di Figaro, K. 492: Sinfonia",Mozart: Nozze Di Figaro (Le) (The Marriage of Figaro),Wolfgang Amadeus Mozart,2004-05-08,244560,52,0.944,0.313,0.144,0.92,0.181,-17.316,0.0368,145.162,4
32,"Symphony No. 40 in G Minor, K. 550: I. Allegro molto","Mozart: Symphonies Nos. 40, 28 and 31",Wolfgang Amadeus Mozart,1988-10-15,451333,53,0.943,0.416,0.174,0.916,0.118,-16.689,0.0353,109.35,4
33,"Mozart: Horn Concerto No. 4 in E-Flat Major, K. 495: III. Rondo. Allegro vivace",Mozart Horn Concertos,Wolfgang Amadeus Mozart,1987,223946,50,0.994,0.269,0.149,0.915,0.11,-21.164,0.0445,180.748,3
34,"Requiem in D minor, K.626: 3. Sequentia: Confutatis",Mozart: Requiem; Kyrie in D minor,Wolfgang Amadeus Mozart,1987-01-01,147573,0,0.991,0.128,0.0386,0.94,0.104,-23.759,0.0434,75.081,4
35,Ave verum corpus,The Music of King's: Choral Favourites from Cambridge,Stephen Cleobury,2019-03-22,164386,54,0.979,0.21,0.101,0.964,0.106,-25.054,0.0418,76.627,3
36,"Adagio in E Major, K. 261",Mozart: Works for Violin & Orchestra,Wolfgang Amadeus Mozart,1982,517360,58,0.969,0.194,0.079,0.498,0.126,-21.389,0.0425,100.309,4
37,"Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio",Mozart: Clarinet Concerto/Debussy: Première Rhapsodie/Takemitsu: Fantasma/Cantos,Sabine Meyer,1999-12-31,394560,59,0.976,0.15,0.0115,0.191,0.0836,-26.636,0.0425,101.769,3
38,"Fantasia in D Minor, K.397","Mozart: Piano Sonatas K.310, K.311 & K.533/494",Wolfgang Amadeus Mozart,2003-01-01,316653,61,0.994,0.382,0.0499,0.906,0.109,-25.262,0.0548,125.903,4
39,"Piano Concerto No. 23 in A Major, K. 488: 2. Adagio - Live",Hosokawa / Mozart (Live),Momo Kodama,2021-03-12,431146,51,0.978,0.219,0.0283,0.943,0.133,-28.784,0.0375,90.879,3
40,"Klavierstück in F Major, K. 33b",Piano Magic,Lang Lang,2018-09-28,56066,48,0.986,0.62,0.179,0.948,0.13,-19.86,0.0585,124.809,4
41,"Die Zauberflöte / Act 2: ""Der Hölle Rache kocht in meinem Herze""",Mozart: Die Zauberflöte,Wolfgang Amadeus Mozart,1991-01-01,249240,50,0.932,0.467,0.237,0.000116,0.151,-17.068,0.164,107.11,3
42,"Serenade No. 6 in D Major, K. 239 ""Serenata notturna"": III. Rondo: Allegro - Adagio - Allegro",Mozart: Kleine Nachtmusik (Eine) / Serenata Notturna / Divertimento No. 10,Wolfgang Amadeus Mozart,1988-02-05,327960,48,0.944,0.461,0.0593,0.168,0.117,-19.804,0.0483,88.692,4
43,"Piano Concerto No.27 in B flat, K.595: 2. Larghetto","Mozart: Piano Concertos No.20 in D minor, K.466 & No.27 in B flat, K.595",Wolfgang Amadeus Mozart,2010-01-01,452706,53,0.987,0.171,0.0115,0.848,0.0991,-30.173,0.0436,72.404,4
44,"Così fan tutte, K. 588: Overture",Mozart: Così Fan Tutte,Wolfgang Amadeus Mozart,1990-11-02,262440,47,0.965,0.295,0.12,0.821,0.223,-17.601,0.0472,152.712,4
45,"Le nozze di Figaro, K. 492, Act II No. 12: Arietta - Voi, che sapete",Mozart: Nozze Di Figaro (Le) (The Marriage of Figaro),Wolfgang Amadeus Mozart,2004-05-08,165693,47,0.991,0.322,0.0809,0.00243,0.175,-20.253,0.0517,117.537,4
46,"Requiem in D minor, K.626: 3. Sequentia: Dies irae",Mozart: Requiem; Kyrie in D minor,Wolfgang Amadeus Mozart,1987-01-01,106000,0,0.973,0.291,0.372,0.285,0.144,-16.74,0.0358,161.722,4
47,"Symphony No. 41 in C Major, K. 551 ""Jupiter"": I. Allegro vivace","Mozart: Symphonies Nos. 25, 32 and 41",Wolfgang Amadeus Mozart,1988-06-30,682000,47,0.912,0.373,0.103,0.782,0.166,-19.958,0.0439,79.728,4
48,"Die Zauberflöte, K. 620: Ouverture",Mozart: Zauberflöte (Die) (The Magic Flute),Wolfgang Amadeus Mozart,1994-01-25,401400,48,0.969,0.296,0.115,0.749,0.132,-19.629,0.0431,90.029,4
49,"Requiem in D minor, K.626: 3. Sequentia: Lacrimosa",Mozart: Requiem; Kyrie in D minor,Wolfgang Amadeus Mozart,1987-01-01,170426,0,0.979,0.164,0.0785,0.13,0.132,-21.377,0.0327,147.057,3
50,"Vesperae solennes de confessore, K. 339: V. Laudate Dominum",Mozart: Solemn Vespers,Wolfgang Amadeus Mozart,2000-02-07,256200,48,0.988,0.109,0.0414,0.114,0.106,-25.91,0.0482,82.111,5
51,"Requiem in D minor, K.626: 1. Introitus: Requiem",Mozart: Requiem; Kyrie in D minor,Wolfgang Amadeus Mozart,1987-01-01,272426,0,0.972,0.103,0.09,0.733,0.315,-22.159,0.0331,89.511,4
