,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Trouble Man,Trouble Man: 40th Anniversary Expanded Edition,Marvin Gaye,1972-12-08,228640,56,0.677,0.541,0.677,0.415,0.0136,0.104,-9.869,0.0304,107.107,4
1,The Boss,Black Caesar,James Brown,1973-01-01,194866,64,0.736,0.579,0.736,0.354,0.0103,0.0757,-14.709,0.0475,97.924,4
2,Let's Get It On,Let's Get It On,Marvin Gaye,1973-08-28,290960,59,0.55,0.0392,0.55,0.611,0.0,0.0631,-10.657,0.0443,168.512,4
3,September,The Eternal Dance,"Earth, Wind & Fire",1992-09-08,214826,3,0.697,0.114,0.697,0.809,0.000521,0.183,-8.197,0.0302,125.941,4
4,Ain't No Mountain High Enough,United,Marvin Gaye,1967-08-29,151666,0,0.663,0.43,0.663,0.6,0.0,0.184,-10.87,0.032,129.991,4
5,Papa Was A Rollin' Stone - Single Version,Psychedelic Soul,The Temptations,2001-01-18,415080,0,0.75,0.619,0.75,0.442,0.0146,0.0929,-13.966,0.0982,120.491,4
6,I Will Survive - Rerecorded,I Will Survive (Rerecorded),Gloria Gaynor,1982,265026,60,0.673,0.00309,0.673,0.752,0.0,0.112,-7.978,0.0491,120.041,4
7,Sexual Healing,Midnight Love,Marvin Gaye,1982-10-01,238600,72,0.805,0.119,0.805,0.602,0.000122,0.0581,-9.7,0.0579,94.382,4
8,I Wish,Songs In The Key Of Life,Stevie Wonder,1976-09-28,252373,0,0.826,0.0845,0.826,0.718,5.44e-06,0.0652,-10.388,0.0555,105.857,4
9,What's Going On,What's Going On - 40th Anniversary (Super Deluxe),Marvin Gaye,1971-05-21,232600,34,0.265,0.0991,0.265,0.824,0.0,0.359,-5.654,0.0991,203.206,4
10,Respect,I Never Loved a Man the Way I Love You,Aretha Franklin,1967-03-10,147600,73,0.805,0.164,0.805,0.558,2.2e-05,0.0546,-5.226,0.041,114.95,4
11,Celebration,Celebrate!,Kool & The Gang,1980-09-29,298866,69,0.885,0.145,0.885,0.664,0.0483,0.0767,-11.795,0.0524,121.632,4
12,Let's Groove,Raise!,"Earth, Wind & Fire",1981-11-14,339320,74,0.869,0.121,0.869,0.648,2.17e-05,0.126,-8.698,0.0633,125.035,4
13,She Works Hard For The Money,She Works Hard For The Money,Donna Summer,1983-01-01,320840,60,0.758,0.00486,0.758,0.638,0.0141,0.0938,-13.01,0.0378,136.502,4
14,Super Freak,Street Songs (Deluxe Edition),Rick James,1981-04-07,205466,73,0.838,0.22,0.838,0.794,0.0,0.0575,-8.245,0.0531,132.446,4
15,Get Up Offa That Thing,20 All-Time Greatest Hits!,James Brown,1991,250200,52,0.883,0.225,0.883,0.664,2.3e-06,0.941,-10.395,0.411,118.104,4
