Dataset;LINK;ID
0;https://open.spotify.com/playlist/2JyC6Os4Tjc4V6LwXhJKst?si=46a78894ea2d4f2b;2JyC6Os4Tjc4V6LwXhJKst
1;https://open.spotify.com/playlist/2ZTUES6KnGqczd4RgAKuBf?si=b03a4c5644054f12;2ZTUES6KnGqczd4RgAKuBf
2;https://open.spotify.com/playlist/2fvfIU3x4mvnx14hEt0VTx?si=9572f55e04ac47b6;2fvfIU3x4mvnx14hEt0VTx
3;https://open.spotify.com/playlist/6TuZ84F0r7VUfRTkHEc1x0?si=9240a09116f64c90;6TuZ84F0r7VUfRTkHEc1x0
4;https://open.spotify.com/playlist/78mEtY1fJsU81a1w8Ytxqa?si=ff4e42bd53da449b;78mEtY1fJsU81a1w8Ytxqa
5;https://open.spotify.com/playlist/61RvEJit9j8DMCcJTgrpo9?si=07bd71748b434376;61RvEJit9j8DMCcJTgrpo9
6;https://open.spotify.com/playlist/1Enng1Br4k2DXSKdSnF7jF?si=4decec2493f54070;1Enng1Br4k2DXSKdSnF7jF
7;https://open.spotify.com/playlist/5kktKb52Hkh1jPFmWtAFEF?si=f0c97e463131447a;5kktKb52Hkh1jPFmWtAFEF
8;https://open.spotify.com/playlist/5DIZHlJmzmPM5PMXfIMAoT?si=7e5f5b8b0c4d4b2e;5DIZHlJmzmPM5PMXfIMAoT
9;https://open.spotify.com/playlist/1khlc5IqNuZbsqiTWG1R17?si=b568fdf4659d4989;1khlc5IqNuZbsqiTWG1R17
10;https://open.spotify.com/playlist/4npSSPvGxLiEzRwaQzBPbq?si=cab4aa8902a14c3f;4npSSPvGxLiEzRwaQzBPbq
11;https://open.spotify.com/playlist/6N0UMaA4JVruyroxHmYJRV?si=8842fe8a73164524;6N0UMaA4JVruyroxHmYJRV
12;https://open.spotify.com/playlist/4JsvGXyre6ki4vYjYDDQHU?si=ae53a3dc7dd64eef;4JsvGXyre6ki4vYjYDDQHU
13;https://open.spotify.com/playlist/6mns8BAZ23YRFgz1orrkGf?si=ed90b7bbfe144779;6mns8BAZ23YRFgz1orrkGf
14;https://open.spotify.com/playlist/45FjUZsAt80AJPQGsALf7G?si=cf954b0a08e941e9;45FjUZsAt80AJPQGsALf7G
15;https://open.spotify.com/playlist/3n9oSQEMiEv158HQ1h8U4P?si=1106a2f5277f42e3;3n9oSQEMiEv158HQ1h8U4P
16;https://open.spotify.com/playlist/6lWR3GAMtM4s1LMPsFcJqb?si=5210f54dc81b4aa8;6lWR3GAMtM4s1LMPsFcJqb
17;https://open.spotify.com/playlist/3iLnvUEiarEG7XnkMGUgHG?si=2140757c338f4079;3iLnvUEiarEG7XnkMGUgHG
18;https://open.spotify.com/playlist/6MYe7Agn7DjbB9dPTUT71L?si=68db7c05976640de;6MYe7Agn7DjbB9dPTUT71L
19;https://open.spotify.com/playlist/1yu9gAgsXlulGqXtfnLSKQ?si=5c57dfe0271e4b4e;1yu9gAgsXlulGqXtfnLSKQ
20;https://open.spotify.com/playlist/0vsOA3UbiA5Tf6KQJYrsJb?si=d27d849244f94b06;0vsOA3UbiA5Tf6KQJYrsJb
