,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Agitations tropicales,Odyssée - EP,L'Impératrice,2015-10-12,248892,63,0.76,0.564,0.76,0.401,0.259,0.0977,-9.537,0.0674,115.989,4
1,Vanille fraise,Vanille fraise,L'Impératrice,2015,238183,64,0.767,0.0399,0.767,0.547,0.485,0.0949,-11.458,0.0474,103.03,4
2,Canopée,Caravelle,Polo & Pan,2017-05-19,276293,67,0.704,0.0942,0.704,0.692,0.0109,0.0922,-6.558,0.0304,96.005,4
3,Sonate pacifique,Sonate pacifique - EP,L'Impératrice,2014-09-16,348944,0,0.557,0.627,0.557,0.534,0.0192,0.425,-8.863,0.0328,99.99,4
4,Plage isolée (Soleil couchant),Plage isolée - EP,Polo & Pan,2015-06-15,359035,0,0.783,0.0779,0.783,0.437,0.157,0.0805,-8.735,0.0333,96.996,4
5,Ann Wants to Dance,Green Juice,Papooz,2016-06-03,210786,55,0.742,0.672,0.742,0.436,0.0292,0.183,-10.992,0.027,100.859,4
6,Nanã,Caravelle,Polo & Pan,2017-05-19,190826,68,0.685,0.191,0.685,0.735,0.038,0.188,-6.337,0.0334,94.035,3
7,How Much (You Want Her) 2017,Rust & Gold,Isaac Delusion,2017-04-07,220626,50,0.654,0.0125,0.654,0.665,0.19,0.0872,-7.335,0.0571,109.965,4
8,Gamesofluck,Gamesofluck,Parcels,2016-10-28,348093,0,0.659,0.128,0.659,0.757,0.485,0.0859,-5.275,0.038,104.997,4
9,Tieduprightnow,Tieduprightnow,Parcels,2018-04-27,249956,69,0.863,0.291,0.863,0.533,0.00126,0.0794,-7.986,0.0484,102.025,4
10,Harvest Moon,Pacific Standard Time,Poolside,2012-07-09,368783,66,0.782,0.288,0.782,0.622,0.53,0.58,-5.832,0.0411,106.022,4
11,Kiss You Forever,Pacific Standard Time,Poolside,2012-07-09,332520,47,0.662,0.133,0.662,0.889,0.00566,0.044,-4.417,0.0401,96.012,4
12,Hot In The Shade,Heat,Poolside,2017-06-20,233196,44,0.791,0.219,0.791,0.511,0.945,0.0859,-10.66,0.0388,102.038,3
13,Leila - Poolside Remix,Leila (Poolside Remix),Miami Horror,2017-06-30,318461,0,0.769,0.0139,0.769,0.768,0.0215,0.0469,-7.542,0.0366,103.997,4
14,Séquences - Parcels Remix,Séquences (Remixes),L'Impératrice,2017-09-27,265800,46,0.824,0.251,0.824,0.666,0.574,0.0582,-9.008,0.0509,120.005,4
15,Flash,Flash,Lewis OfMan,2018-01-19,179417,0,0.651,0.186,0.651,0.739,0.81,0.0384,-4.845,0.0433,103.05,4
16,Back for More,Still Waters,Breakbot,2016-02-05,255386,42,0.776,0.029,0.776,0.745,0.653,0.062,-6.516,0.0331,114.997,4
17,Little L,A funk odyssey,Jamiroquai,2001-09-11,295400,66,0.878,0.168,0.878,0.724,0.0116,0.133,-5.373,0.129,121.906,4
18,Human Animal,Human Animal,Total Giovanni,2014-10-31,356481,48,0.755,0.00504,0.755,0.852,0.0154,0.876,-5.965,0.0464,113.99,4
19,Atomic Bomb - William Onyeabor vs. Hot Chip,What?!,William Onyeabor,2014-05-06,436236,49,0.834,0.0145,0.834,0.56,0.282,0.446,-10.062,0.0439,125.798,4
20,Prettiest Virgin (Radio Edit),Prettiest Virgin,Agar Agar,2016-04-22,270000,3,0.946,0.162,0.946,0.493,0.297,0.0875,-9.654,0.0509,120.012,4
21,Two Fish and an Elephant,The Universe Smiles Upon You,Khruangbin,2015-11-06,213760,59,0.452,0.0153,0.452,0.579,0.893,0.637,-11.085,0.0476,84.615,4
