,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,She Works Out Too Much,Little Dark Age,MGMT,2018-02-09,278386,55,0.633,0.00596,0.633,0.919,0.273,0.43,-6.208,0.0343,147.97,4
1,Eight Days A Week - Remastered 2009,Beatles For Sale (Remastered),The Beatles,1964-12-04,163600,65,0.652,0.412,0.652,0.583,0.0,0.119,-7.811,0.038,138.134,4
2,Tieduprightnow,Tieduprightnow,Parcels,2018-04-27,249956,69,0.863,0.291,0.863,0.533,0.00126,0.0794,-7.986,0.0484,102.025,4
3,Comanchero,ITALO Dance Hits,Various Artists,1984,237773,30,0.606,0.595,0.606,0.752,3.53e-05,0.0465,-7.36,0.0751,192.624,4
4,Born Under Punches (The Heat Goes On),Remain in Light,Talking Heads,1980-10-08,348973,36,0.731,0.312,0.731,0.709,0.226,0.119,-13.613,0.064,112.426,4
5,Humility (feat. George Benson),Humility (feat. George Benson),Gorillaz,2018-05-31,197933,49,0.632,0.144,0.632,0.807,0.0211,0.125,-5.893,0.126,160.174,4
6,Livin' Thing,A New World Record,Electric Light Orchestra,1976-09-01,212306,70,0.549,0.583,0.549,0.651,0.0,0.121,-7.097,0.0323,122.818,4
7,Metronomic Underground,Emperor Tomato Ketchup,Stereolab,1996-03-18,474506,35,0.375,0.00257,0.375,0.737,0.611,0.127,-8.53,0.0428,178.181,4
8,Soberland,I Don't Run,Hinds,2018-04-06,165573,24,0.458,0.33,0.458,0.849,0.0554,0.257,-4.954,0.0356,93.777,4
9,Hunnybee,Sex & Food,Unknown Mortal Orchestra,2018-04-06,268333,71,0.956,0.569,0.956,0.373,0.394,0.314,-7.963,0.0773,119.994,4
10,Heart It Races - Cover Version,Heart It Races,Architecture In Helsinki,2007-06-05,233128,67,0.705,0.443,0.705,0.474,0.0553,0.338,-13.081,0.0391,98.612,4
11,Me and Michael,Little Dark Age,MGMT,2018-02-09,289853,63,0.628,0.0285,0.628,0.841,0.00332,0.254,-4.583,0.0268,111.985,4
12,Put It Back Together,Palookaville,Fatboy Slim,2004-01-01,276640,33,0.601,0.142,0.601,0.622,0.00013,0.295,-6.626,0.0394,79.986,4
13,Aaron,Berlin Calling (The Soundtrack by Paul Kalkbrenner),Paul Kalkbrenner,2013-07-12,353813,60,0.723,0.0755,0.723,0.387,0.861,0.0818,-12.039,0.279,111.98,4
14,Homage,Skiptracing,Mild High Club,2016-08-26,177493,74,0.546,0.153,0.546,0.468,0.00257,0.321,-8.167,0.0287,73.372,4
15,The Big Country - 2005 Remaster,More Songs About Buildings and Food (Deluxe Version),Talking Heads,1978-07-14,333386,47,0.71,0.166,0.71,0.558,0.00121,0.237,-8.148,0.0307,111.152,4
16,Safari Song,From The Fires,Greta Van Fleet,2017-11-10,234600,64,0.362,0.164,0.362,0.928,1.61e-05,0.315,-4.015,0.0503,175.868,4
17,Fall In Love With Me,Lust For Life,Iggy Pop,1977-08-29,392160,43,0.574,0.224,0.574,0.823,0.444,0.0742,-6.257,0.0969,123.406,4
18,Comedown,Parcels,Parcels,2018-10-12,188724,50,0.893,0.596,0.893,0.44,0.126,0.322,-8.373,0.0436,122.991,4
19,Linda,I Don't Run,Hinds,2018-04-06,214666,24,0.501,0.442,0.501,0.661,0.724,0.112,-7.859,0.0256,106.173,4
20,Old Friends,Cardinal,Pinegrove,2016-02-12,207720,0,0.488,0.41,0.488,0.555,0.0,0.494,-7.315,0.0398,147.88,4
21,When You Die,Little Dark Age,MGMT,2018-02-09,263880,70,0.645,0.0946,0.645,0.938,0.0226,0.159,-4.557,0.0391,140.886,4
22,Mr Bubbles,Mr Bubbles,The Ruminaters,2016-02-26,249488,44,0.646,0.517,0.646,0.71,0.000192,0.328,-6.383,0.0344,127.088,4
23,Crescendolls,Discovery,Daft Punk,2001-03-12,211640,64,0.696,0.0035,0.696,0.75,0.922,0.0889,-8.503,0.0721,124.048,4
24,Shoot You Down - Remastered,The Stone Roses,The Stone Roses,1989-05-02,253453,50,0.527,0.0918,0.527,0.513,0.164,0.327,-10.967,0.0304,108.934,4
25,how do you sleep?,american dream,LCD Soundsystem,2017-10-06,552240,37,0.64,0.00428,0.64,0.566,0.101,0.15,-9.059,0.0325,105.926,4
26,Once in a Lifetime,Remain in Light,Talking Heads,1980-10-08,259600,49,0.646,0.0623,0.646,0.88,0.157,0.355,-7.753,0.0637,116.916,4
27,Come On To Me,Come On To Me,Paul McCartney,2018-06-20,250547,39,0.675,0.0357,0.675,0.874,0.0,0.148,-3.294,0.026,93.284,4
28,Sky and Sand,Berlin Calling (The Soundtrack by Paul Kalkbrenner),Paul Kalkbrenner,2013-07-12,230500,68,0.791,0.6,0.791,0.329,0.863,0.193,-12.906,0.0592,127.021,4
29,Gamesofluck,Gamesofluck,Parcels,2016-10-28,348093,0,0.659,0.128,0.659,0.757,0.485,0.0859,-5.275,0.038,104.997,4
30,Lake Zurich,The Now Now,Gorillaz,2018-06-29,253626,55,0.618,0.000108,0.618,0.886,0.881,0.0821,-6.099,0.033,115.082,4
31,Free Hifi Internet,EMMANUELLE,EMMANUELLE,2015-12-04,224750,31,0.809,0.0435,0.809,0.443,0.731,0.0845,-7.981,0.0454,115.011,4
32,It's Time to Wake Up 2023,Psycho Tropical Berlin,La Femme,2013-04-20,411440,52,0.675,0.314,0.675,0.585,0.666,0.0888,-6.886,0.0264,109.982,4
33,Canopée,Caravelle,Polo & Pan,2017-05-19,276293,67,0.704,0.0942,0.704,0.692,0.0109,0.0922,-6.558,0.0304,96.005,4
34,City Music,City Music,Kevin Morby,2017-06-16,404373,55,0.509,0.242,0.509,0.469,0.151,0.11,-7.103,0.0336,122.441,4
35,Cumbia Sobre el Mar,Dog With a Rope (Quantic Presenta Flowering Inferno),Quantic,2010-07-19,377293,58,0.588,0.0732,0.588,0.601,0.425,0.102,-8.147,0.0612,84.38,4
36,Down On The Corner,Willy And The Poor Boys,Creedence Clearwater Revival,1969-11-02,166280,73,0.858,0.583,0.858,0.544,0.00109,0.0707,-9.289,0.0751,108.217,4
37,I Zimbra,Fear of Music,Talking Heads,1979-08-03,188666,31,0.673,0.044,0.673,0.517,0.16,0.147,-17.397,0.034,113.959,4
38,It's A Balloon,Chicano Batman,Chicano Batman,2010-05-28,394283,0,0.52,0.0193,0.52,0.555,0.287,0.179,-7.231,0.0579,81.518,3
39,London Calling - Remastered,London Calling (Remastered),The Clash,1979,200480,73,0.651,0.123,0.651,0.801,0.0,0.0825,-7.34,0.0514,133.769,4
40,Bemyself,Bemyself,Parcels,2018-07-13,147787,32,0.497,0.377,0.497,0.383,2.53e-06,0.725,-13.44,0.0299,209.747,3
41,New For You,I Don't Run,Hinds,2018-04-06,206173,25,0.482,0.157,0.482,0.869,2.59e-06,0.076,-4.085,0.0462,122.192,4
42,Sonate pacifique,Sonate pacifique - EP,L'Impératrice,2014-09-16,348944,0,0.557,0.627,0.557,0.534,0.0192,0.425,-8.863,0.0328,99.99,4
43,"Concerto III, en Sol Majeur, BWV 1048 - I. [Allegro]",Bach: Brandenburg Concertos,Johann Sebastian Bach,2010-04-06,341760,22,0.479,0.948,0.479,0.301,0.811,0.103,-18.618,0.0392,98.065,4
44,Crime,Atlas,Real Estate,2014-03-03,195960,43,0.585,0.122,0.585,0.868,0.446,0.356,-6.345,0.0279,120.697,3
45,Nuestra Canción (feat. Vicente García),Caja De Música (Edición Especial),Monsieur Periné,2015-06-16,260079,55,0.906,0.426,0.906,0.731,4.43e-06,0.0853,-7.021,0.0986,106.995,4
46,Let Me Roll It - Remastered 2010,Band On The Run (Standard),Wings,1973-12-05,289813,54,0.338,0.0327,0.338,0.407,0.00246,0.081,-8.506,0.0371,172.595,3
47,Artists Only - 2005 Remaster,More Songs About Buildings and Food (Deluxe Version),Talking Heads,1978-07-14,214800,31,0.414,0.0205,0.414,0.601,0.0107,0.0876,-9.978,0.0296,132.055,4
48,Black Smoke Rising,From The Fires,Greta Van Fleet,2017-11-10,259893,65,0.558,0.197,0.558,0.902,0.000148,0.0852,-4.018,0.0464,100.027,4
49,Mansard Roof,Vampire Weekend,Vampire Weekend,2008-01-29,127666,15,0.536,0.365,0.536,0.7,0.000107,0.201,-4.284,0.141,165.406,4
50,The Club,I Don't Run,Hinds,2018-04-06,197373,31,0.377,0.0381,0.377,0.913,0.19,0.109,-4.269,0.133,125.947,4
51,Hideout,Hideout,Parcels,2017-01-27,266454,0,0.784,0.273,0.784,0.587,0.0107,0.356,-6.361,0.0422,107.999,4
