,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Honest I Do,Spirit in the Dark,Aretha Franklin,1970-08-24,199200,20,0.565,0.595,0.565,0.476,0.000179,0.0659,-12.354,0.0503,119.891,4
1,Spooky,"Music From The Motion Picture Lock, Stock And Two Smoking Barrels",Various Artists,1998,155133,49,0.683,0.518,0.683,0.708,2.08e-05,0.175,-6.852,0.0289,106.446,4
2,A Sunday Kind Of Love - Single Version,At Last!,Etta James,1960,198866,0,0.363,0.85,0.363,0.268,0.0,0.216,-9.632,0.0301,68.885,5
3,I'd Rather Go Blind,Tell Mama,Etta James,1968-04-18,156653,70,0.477,0.689,0.477,0.433,0.000195,0.151,-6.473,0.0247,82.52,3
4,At Last,At Last!,Etta James,1960,179693,76,0.274,0.547,0.274,0.348,0.0133,0.334,-8.631,0.0293,87.43,3
5,Stormy Weather,At Last!,Etta James,1960,187666,62,0.262,0.613,0.262,0.356,0.0,0.175,-8.031,0.0303,174.176,3
6,What a Difference a Day Makes,Dinah Washington - The Great American Songbook,Dinah Washington,2011-08-09,152360,43,0.278,0.857,0.278,0.374,0.000224,0.279,-8.453,0.0328,165.385,3
7,Dream A Little Dream Of Me - Single Version,"Love, Ella",Ella Fitzgerald,1957-01-01,185160,73,0.443,0.913,0.443,0.104,0.0,0.191,-17.042,0.101,76.497,4
8,I Put A Spell On You,I Put A Spell On You,Nina Simone,1965-06-01,155026,67,0.42,0.755,0.42,0.398,0.000537,0.172,-9.13,0.0296,88.897,3
9,I Just Want To Make Love To You - Single Version,At Last!,Etta James,1960,185626,64,0.642,0.772,0.642,0.523,3.26e-06,0.527,-8.579,0.11,101.635,4
10,Fever,All Aglow Again!,Peggy Lee,1960-05-01,202693,56,0.833,0.314,0.833,0.0756,0.0,0.111,-20.822,0.147,136.007,4
11,Cry Me A River,What A Diff'rence A Day Makes! (Expanded Edition),Dinah Washington,1959-02-19,150893,51,0.26,0.821,0.26,0.205,0.00102,0.074,-16.618,0.0312,99.912,3
12,Cheek To Cheek,The Complete Ella And Louis On Verve,Ella Fitzgerald,1997-05-20,354533,68,0.663,0.706,0.663,0.264,0.0,0.1,-14.571,0.0914,122.482,4
13,Feeling Good,I Put A Spell On You,Nina Simone,1965-06-01,174000,74,0.399,0.864,0.399,0.326,0.0,0.191,-9.239,0.0386,79.206,4
14,Something's Got A Hold On Me,Heart & Soul: A Retrospective,Etta James,2011-10-18,169746,63,0.471,0.786,0.471,0.585,0.0,0.811,-6.105,0.0822,150.719,4
15,Mean to Me,Sarah Vaughan In Hi-Fi,Sarah Vaughan,1949,172533,41,0.623,0.823,0.623,0.0986,0.0,0.23,-10.503,0.0413,123.772,4
16,Mad About The Boy,The Complete Dinah Washington On Mercury Vol. 2 (1950-1952),Dinah Washington,1987-01-01,182573,59,0.344,0.922,0.344,0.147,0.00019,0.0482,-10.3,0.0369,177.192,3
17,I Say a Little Prayer,Aretha Now,Aretha Franklin,1968-06-14,216773,76,0.592,0.478,0.592,0.355,0.0,0.0585,-14.051,0.0352,133.032,4
18,Black Coffee,After Hours,Sarah Vaughan,1955-04-12,200440,55,0.38,0.973,0.38,0.155,1.7e-05,0.0977,-11.977,0.0311,94.23,3
19,Respect,I Never Loved a Man the Way I Love You,Aretha Franklin,1967-03-10,147600,74,0.805,0.164,0.805,0.558,2.2e-05,0.0546,-5.226,0.041,114.95,4
20,Think,Aretha Now,Aretha Franklin,1968-06-14,139733,68,0.687,0.251,0.687,0.63,0.0,0.221,-10.817,0.0389,110.051,4
21,You Sent Me Flying / Cherry,Frank,Amy Winehouse,2003,410760,48,0.738,0.476,0.738,0.629,0.0,0.209,-6.453,0.136,99.895,4
22,Nobody Knows You When You're Down and Out,The Best of Bessie Smith,Bessie Smith,1923,177133,40,0.614,0.996,0.614,0.0423,0.00293,0.183,-12.033,0.0535,89.822,4
23,A Sunday Kind Of Love,At Last!,Etta James,1960,196133,70,0.421,0.829,0.421,0.285,1.55e-06,0.233,-9.43,0.0293,85.861,4
24,There is No Greater Love,Love Songs,Etta James,1960,317680,8,0.402,0.349,0.402,0.272,0.0,0.142,-10.603,0.0468,66.857,4
25,Teach Me Tonight,Love Songs,Etta James,1960,299306,8,0.475,0.727,0.475,0.259,5.36e-05,0.304,-9.8,0.0439,76.019,4
26,Body And Soul,Love Songs,Etta James,1960,256106,18,0.428,0.797,0.428,0.191,0.0,0.165,-10.421,0.0429,204.091,3
27,The Man I Love,Love Songs,Etta James,1960,267293,8,0.528,0.89,0.528,0.262,4.71e-06,0.0884,-10.997,0.0369,102.843,3
28,Tell Mama,My Greatest Songs,Etta James,1992-01-01,143840,5,0.678,0.174,0.678,0.632,0.00707,0.124,-11.207,0.0454,119.471,4
