,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,A Time for Us,"Late Night Tales: Belle and Sebastian, Vol. 2",Belle & Sebastian,2012-03-26,195053,47,0.333,0.704,0.333,0.448,0.677,0.141,-14.122,0.0384,82.554,4
1,You're Gonna Miss Me (2008 Remastered Original Mono LP Version),The Psychedelic Sounds of the 13th Floor Elevators - 2008 Remaster,13th Floor Elevators,2010,146737,53,0.428,0.0108,0.428,0.923,0.436,0.0985,-4.454,0.123,151.005,4
2,Slip Inside This House - Stereo LP Version,Easter Everywhere,13th Floor Elevators,2010,482278,43,0.555,0.101,0.555,0.694,0.0,0.123,-8.453,0.0426,127.423,4
3,(It's All over Now) Baby Blue - Mono LP Version,Easter Everywhere,13th Floor Elevators,2010,305482,34,0.402,0.2,0.402,0.546,0.272,0.167,-8.73,0.0313,97.513,4
4,Midnight Hour,Psychedelic Summer 1967: Hits & Misses,Various Artists,2017-07-07,152026,0,0.365,0.00383,0.365,0.748,2.15e-06,0.208,-7.174,0.0521,139.352,4
5,Can't Seem To Make You Mine,The Seeds,The Seeds,1966,185480,49,0.699,0.148,0.699,0.384,0.0,0.121,-13.691,0.044,109.573,4
6,Mind Flowers,Behold & See,Ultimate Spinach,1968,580093,48,0.255,0.296,0.255,0.427,0.459,0.128,-10.235,0.0292,156.947,3
7,Daydream Believer,"The Birds, The Bees, & The Monkees",The Monkees,1968-04-22,179613,70,0.51,0.256,0.51,0.488,0.0,0.11,-10.304,0.0304,125.683,4
8,I'm a Believer - 2006 Remaster,More of The Monkees (Deluxe Edition),The Monkees,1967-01-09,167373,74,0.526,0.707,0.526,0.775,2.05e-05,0.217,-6.05,0.0352,80.106,4
9,Do You Believe in Magic?,Do you Believe In Magic,The Lovin' Spoonful,1965-11,125826,68,0.553,0.213,0.553,0.738,0.0,0.339,-7.963,0.0457,138.602,4
10,Daydream,Daydream,The Lovin' Spoonful,1966-03,139093,57,0.822,0.834,0.822,0.332,0.0,0.11,-11.369,0.0506,110.802,4
11,Summer in the City - Remastered,Hums Of The Lovin' Spoonful,The Lovin' Spoonful,1966-11,160306,64,0.423,0.0592,0.423,0.681,0.000177,0.0889,-9.756,0.0397,110.461,4
